领袖id,名称,所属文明id,领袖能力,是否首期纳入,备注,数据来源,待核
LEADER_SULEIMAN,苏莱曼一世（立法者）,CIVILIZATION_OTTOMAN,大维齐尔：拥有军事与外交能力的专属特色总督。研究完“火药”科技后获得特色单位“苏丹亲兵”及1个 [Icon_Governor] 总督头衔。,否,无,一手,否
LEADER_SULEIMAN_ALT,苏莱曼一世（大帝）,CIVILIZATION_OTTOMAN,大帝：处于 黄金时代或英雄时代时，+15% [Icon_Science] 科技值和 [Icon_Culture] 文化值。未处于 黄金时代或英雄时代时，和同样未处于 黄金时代或英雄时代的文明作战将+4 战斗力。,否,无,一手,否
LEADER_SUNDIATA_KEITA,松迪亚塔·凯塔,CIVILIZATION_MALI,索格伦：招募伟人所花费的 金币-20%，马里所建城市的市场获得2个 著作巨作槽位。 著作巨作+4 黄金、+2 生产力。,否,无,一手,否
LEADER_TAMAR,塔玛丽,CIVILIZATION_GEORGIA,世界、王国和信仰的荣光：战斗胜利后，获得等同于被击杀单位战斗力50%的 信仰值（标准速度下）。如城邦的主流宗教与本方相同，则派遣至其处的每名 使者将视为2名（必须拥有1个主流宗教）。,否,无,一手,否
LEADER_THEODORA,狄奥多拉,CIVILIZATION_BYZANTIUM,悔改：圣地提供等于其相邻加成的 文化值。农场可以为跑马场和圣地提供+1的信仰 相邻加成。,否,无,一手,否
LEADER_TOKUGAWA,德川家康,CIVILIZATION_JAPAN,幕藩：国际 贸易路线的产出和 旅游业绩-25%；目的地城市中每有一个特色区域，国内 贸易路线便提供+1 文化值、+1 科技值和+2 金币。在日本 首都6单元格内的城市为100%忠诚；研究完“飞行”后，每有一个区域则+1 旅游业绩。,否,无,一手,否
LEADER_TOMYRIS,托米丽司,CIVILIZATION_SCYTHIA,居鲁士终结者：攻击受伤单位时，所有单位+5 战斗力。消灭一个单位时恢复30点生命值。,否,无,一手,否
LEADER_TRAJAN,图拉真,CIVILIZATION_ROME,图拉真圆柱：所有城市建立时带有一个额外的市中心建筑。 （远古时代是纪念碑）。,否,无,一手,否
LEADER_T_ROOSEVELT,泰迪·罗斯福（进步党）,CIVILIZATION_AMERICA,古迹与公园：与自然奇观或山脉相邻时，魅力值为“惊艳”的单元格+2 科技值。与自然奇观或树林相邻时，魅力值为“惊艳”的单元格+2 文化值。如拥有国家公园，城市的所有单元格+1魅力。,否,无,一手,否
LEADER_T_ROOSEVELT_ROUGHRIDER,泰迪·罗斯福（莽骑兵）,CIVILIZATION_AMERICA,罗斯福推论：在首都所在大陆上时单位+5 战斗力。如与城邦之间存在 贸易路线，派往此处的1位 使者将视为2位。解锁“膛线”科技后获得特色单位“莽骑兵”。,否,无,一手,否
LEADER_VICTORIA,维多利亚（帝国时代）,CIVILIZATION_ENGLAND,英国强权下的和平：在新大陆（非首都所在大陆）建造首座城市时免费获得1个近战单位与1条 贸易路线容量。建造“皇家海军船坞”后，获得可生产的最强海军单位。研究“军事学”科技后，获得特色单位“红衫军”。,否,无,一手,否
LEADER_VICTORIA_ALT,维多利亚（蒸汽时代）,CIVILIZATION_ENGLAND,蒸汽时代：城市中每有一座工业区建筑，其便+10% 生产力。所有战略资源+2 生产力。,否,无,一手,否
LEADER_WILHELMINA,威廉明娜,CIVILIZATION_NETHERLANDS,橙色电台：通向本方城市的本方 贸易路线每回合可为起源城市+2忠诚度。通往外国城市或起源于外国城市的 贸易路线+2 文化值。,否,无,一手,否
LEADER_WU_ZETIAN,武则天,CIVILIZATION_CHINA,罗织经：进攻性间谍的行动效果提升1级。进攻性间谍任务成功时，获得目标城市该回合 信仰值、 文化值和 科技值的100%。解锁“防御战术”后获得1名免费间谍（和一个额外的间谍容量）。可以使用 信仰值购买间谍。,否,无,一手,否
LEADER_YONGLE,永乐皇帝,CIVILIZATION_CHINA,里甲：所有城市都可进行“里甲”项目，专注于以每回合的城市生产力来转换为 [Icon_Food] 食物（50%）、[Icon_Faith] 信仰值（50%）或者 [Icon_GOLD] 金币（100%）。10个人口或以上的大型城市，每一个人口便提供+2 [Icon_Gold] 金币、+1 [Icon_Science] 科技值以及+1 [Icon_Culture] 文化值。,否,无,一手,否
